period,state,sector,description,index_value,yoy_pct
2025-01-01,All India,combined,General Index (All Groups),101.67,
2025-01-01,All India,rural,General Index (All Groups),101.81,
2025-01-01,All India,urban,General Index (All Groups),101.49,
2025-01-01,Andaman And Nicobar Islands,combined,General Index (All Groups),102.51,
2025-01-01,Andaman And Nicobar Islands,rural,General Index (All Groups),102.34,
2025-01-01,Andaman And Nicobar Islands,urban,General Index (All Groups),102.68,
2025-01-01,Andhra Pradesh,combined,General Index (All Groups),101.36,
2025-01-01,Andhra Pradesh,rural,General Index (All Groups),101.48,
2025-01-01,Andhra Pradesh,urban,General Index (All Groups),101.16,
2025-01-01,Arunachal Pradesh,combined,General Index (All Groups),101.42,
2025-01-01,Arunachal Pradesh,rural,General Index (All Groups),101.33,
2025-01-01,Arunachal Pradesh,urban,General Index (All Groups),101.69,
2025-01-01,Assam,combined,General Index (All Groups),102.15,
2025-01-01,Assam,rural,General Index (All Groups),102.39,
2025-01-01,Assam,urban,General Index (All Groups),101.23,
2025-01-01,Bihar,combined,General Index (All Groups),101.56,
2025-01-01,Bihar,rural,General Index (All Groups),101.63,
2025-01-01,Bihar,urban,General Index (All Groups),101.14,
2025-01-01,Chandigarh,combined,General Index (All Groups),101.33,
2025-01-01,Chandigarh,urban,General Index (All Groups),101.33,
2025-01-01,Chhattisgarh,combined,General Index (All Groups),101.21,
2025-01-01,Chhattisgarh,rural,General Index (All Groups),101.09,
2025-01-01,Chhattisgarh,urban,General Index (All Groups),101.43,
2025-01-01,Goa,combined,General Index (All Groups),101.58,
2025-01-01,Goa,rural,General Index (All Groups),101.85,
2025-01-01,Goa,urban,General Index (All Groups),101.43,
2025-01-01,Gujarat,combined,General Index (All Groups),101.04,
2025-01-01,Gujarat,rural,General Index (All Groups),100.99,
2025-01-01,Gujarat,urban,General Index (All Groups),101.08,
2025-01-01,Haryana,combined,General Index (All Groups),101.8,
2025-01-01,Haryana,rural,General Index (All Groups),101.99,
2025-01-01,Haryana,urban,General Index (All Groups),101.61,
2025-01-01,Himachal Pradesh,combined,General Index (All Groups),101.8,
2025-01-01,Himachal Pradesh,rural,General Index (All Groups),101.82,
2025-01-01,Himachal Pradesh,urban,General Index (All Groups),101.71,
2025-01-01,Jammu And Kashmir,combined,General Index (All Groups),102.83,
2025-01-01,Jammu And Kashmir,rural,General Index (All Groups),103.2,
2025-01-01,Jammu And Kashmir,urban,General Index (All Groups),101.89,
2025-01-01,Jharkhand,combined,General Index (All Groups),101.76,
2025-01-01,Jharkhand,rural,General Index (All Groups),101.98,
2025-01-01,Jharkhand,urban,General Index (All Groups),101.32,
2025-01-01,Karnataka,combined,General Index (All Groups),102.04,
2025-01-01,Karnataka,rural,General Index (All Groups),102.28,
2025-01-01,Karnataka,urban,General Index (All Groups),101.8,
2025-01-01,Kerala,combined,General Index (All Groups),101.94,
2025-01-01,Kerala,rural,General Index (All Groups),102.23,
2025-01-01,Kerala,urban,General Index (All Groups),101.7,
2025-01-01,Ladakh,combined,General Index (All Groups),103.28,
2025-01-01,Ladakh,rural,General Index (All Groups),103.31,
2025-01-01,Ladakh,urban,General Index (All Groups),103.18,
2025-01-01,Lakshadweep,combined,General Index (All Groups),101.96,
2025-01-01,Lakshadweep,rural,General Index (All Groups),101.94,
2025-01-01,Lakshadweep,urban,General Index (All Groups),101.97,
2025-01-01,Madhya Pradesh,combined,General Index (All Groups),101.39,
2025-01-01,Madhya Pradesh,rural,General Index (All Groups),101.57,
2025-01-01,Madhya Pradesh,urban,General Index (All Groups),101.12,
2025-01-01,Maharashtra,combined,General Index (All Groups),101.62,
2025-01-01,Maharashtra,rural,General Index (All Groups),101.68,
2025-01-01,Maharashtra,urban,General Index (All Groups),101.58,
2025-01-01,Manipur,combined,General Index (All Groups),102.17,
2025-01-01,Manipur,rural,General Index (All Groups),102.22,
2025-01-01,Manipur,urban,General Index (All Groups),102.06,
2025-01-01,Meghalaya,combined,General Index (All Groups),102.52,
2025-01-01,Meghalaya,rural,General Index (All Groups),102.76,
2025-01-01,Meghalaya,urban,General Index (All Groups),101.85,
2025-01-01,Mizoram,combined,General Index (All Groups),102.26,
2025-01-01,Mizoram,rural,General Index (All Groups),102.55,
2025-01-01,Mizoram,urban,General Index (All Groups),102.05,
2025-01-01,Nagaland,combined,General Index (All Groups),102.24,
2025-01-01,Nagaland,rural,General Index (All Groups),102.66,
2025-01-01,Nagaland,urban,General Index (All Groups),101.56,
2025-01-01,Nct Of Delhi,combined,General Index (All Groups),100.84,
2025-01-01,Nct Of Delhi,rural,General Index (All Groups),99.85,
2025-01-01,Nct Of Delhi,urban,General Index (All Groups),100.86,
2025-01-01,Odisha,combined,General Index (All Groups),101.68,
2025-01-01,Odisha,rural,General Index (All Groups),101.85,
2025-01-01,Odisha,urban,General Index (All Groups),101.22,
2025-01-01,Puducherry,combined,General Index (All Groups),101.83,
2025-01-01,Puducherry,rural,General Index (All Groups),102.52,
2025-01-01,Puducherry,urban,General Index (All Groups),101.52,
2025-01-01,Punjab,combined,General Index (All Groups),101.79,
2025-01-01,Punjab,rural,General Index (All Groups),101.98,
2025-01-01,Punjab,urban,General Index (All Groups),101.58,
2025-01-01,Rajasthan,combined,General Index (All Groups),101.62,
2025-01-01,Rajasthan,rural,General Index (All Groups),101.63,
2025-01-01,Rajasthan,urban,General Index (All Groups),101.61,
2025-01-01,Sikkim,combined,General Index (All Groups),102.27,
2025-01-01,Sikkim,rural,General Index (All Groups),102.44,
2025-01-01,Sikkim,urban,General Index (All Groups),101.94,
2025-01-01,Tamil Nadu,combined,General Index (All Groups),102.15,
2025-01-01,Tamil Nadu,rural,General Index (All Groups),102.31,
2025-01-01,Tamil Nadu,urban,General Index (All Groups),102.03,
2025-01-01,Telangana,combined,General Index (All Groups),101.6,
2025-01-01,Telangana,rural,General Index (All Groups),101.64,
2025-01-01,Telangana,urban,General Index (All Groups),101.57,
2025-01-01,The Dadra And Nagar Haveli And Daman And Diu,combined,General Index (All Groups),101.34,
2025-01-01,The Dadra And Nagar Haveli And Daman And Diu,rural,General Index (All Groups),101.13,
2025-01-01,The Dadra And Nagar Haveli And Daman And Diu,urban,General Index (All Groups),101.41,
2025-01-01,Tripura,combined,General Index (All Groups),100.73,
2025-01-01,Tripura,rural,General Index (All Groups),100.6,
2025-01-01,Tripura,urban,General Index (All Groups),101.15,
2025-01-01,Uttar Pradesh,combined,General Index (All Groups),101.82,
2025-01-01,Uttar Pradesh,rural,General Index (All Groups),101.96,
2025-01-01,Uttar Pradesh,urban,General Index (All Groups),101.5,
2025-01-01,Uttarakhand,combined,General Index (All Groups),102.29,
2025-01-01,Uttarakhand,rural,General Index (All Groups),102.6,
2025-01-01,Uttarakhand,urban,General Index (All Groups),101.75,
2025-01-01,West Bengal,combined,General Index (All Groups),101.18,
2025-01-01,West Bengal,rural,General Index (All Groups),101.17,
2025-01-01,West Bengal,urban,General Index (All Groups),101.2,
2025-02-01,All India,combined,General Index (All Groups),101.32,
2025-02-01,All India,rural,General Index (All Groups),101.33,
2025-02-01,All India,urban,General Index (All Groups),101.3,
2025-02-01,Andaman And Nicobar Islands,combined,General Index (All Groups),102.02,
2025-02-01,Andaman And Nicobar Islands,rural,General Index (All Groups),101.82,
2025-02-01,Andaman And Nicobar Islands,urban,General Index (All Groups),102.23,
2025-02-01,Andhra Pradesh,combined,General Index (All Groups),100.71,
2025-02-01,Andhra Pradesh,rural,General Index (All Groups),100.76,
2025-02-01,Andhra Pradesh,urban,General Index (All Groups),100.62,
2025-02-01,Arunachal Pradesh,combined,General Index (All Groups),101.07,
2025-02-01,Arunachal Pradesh,rural,General Index (All Groups),100.96,
2025-02-01,Arunachal Pradesh,urban,General Index (All Groups),101.38,
2025-02-01,Assam,combined,General Index (All Groups),100.92,
2025-02-01,Assam,rural,General Index (All Groups),100.98,
2025-02-01,Assam,urban,General Index (All Groups),100.67,
2025-02-01,Bihar,combined,General Index (All Groups),100.97,
2025-02-01,Bihar,rural,General Index (All Groups),100.98,
2025-02-01,Bihar,urban,General Index (All Groups),100.91,
2025-02-01,Chandigarh,combined,General Index (All Groups),101.05,
2025-02-01,Chandigarh,urban,General Index (All Groups),101.05,
2025-02-01,Chhattisgarh,combined,General Index (All Groups),100.19,
2025-02-01,Chhattisgarh,rural,General Index (All Groups),100.12,
2025-02-01,Chhattisgarh,urban,General Index (All Groups),100.32,
2025-02-01,Goa,combined,General Index (All Groups),101.55,
2025-02-01,Goa,rural,General Index (All Groups),101.83,
2025-02-01,Goa,urban,General Index (All Groups),101.4,
2025-02-01,Gujarat,combined,General Index (All Groups),100.93,
2025-02-01,Gujarat,rural,General Index (All Groups),100.83,
2025-02-01,Gujarat,urban,General Index (All Groups),101.0,
2025-02-01,Haryana,combined,General Index (All Groups),101.65,
2025-02-01,Haryana,rural,General Index (All Groups),101.7,
2025-02-01,Haryana,urban,General Index (All Groups),101.6,
2025-02-01,Himachal Pradesh,combined,General Index (All Groups),101.78,
2025-02-01,Himachal Pradesh,rural,General Index (All Groups),101.83,
2025-02-01,Himachal Pradesh,urban,General Index (All Groups),101.53,
