period,sector,index_value,inflation_pct
2025-01-01,combined,101.67,
2025-01-01,rural,101.81,
2025-01-01,urban,101.49,
2025-02-01,combined,101.32,
2025-02-01,rural,101.33,
2025-02-01,urban,101.3,
2025-03-01,combined,101.39,
2025-03-01,rural,101.34,
2025-03-01,urban,101.47,
2025-04-01,combined,101.58,
2025-04-01,rural,101.49,
2025-04-01,urban,101.71,
2025-05-01,combined,101.9,
2025-05-01,rural,101.78,
2025-05-01,urban,102.06,
2025-06-01,combined,102.51,
2025-06-01,rural,102.39,
2025-06-01,urban,102.66,
2025-07-01,combined,103.35,
2025-07-01,rural,103.34,
2025-07-01,urban,103.36,
2025-08-01,combined,103.74,
2025-08-01,rural,103.84,
2025-08-01,urban,103.6,
2025-09-01,combined,103.74,
2025-09-01,rural,103.8,
2025-09-01,urban,103.66,
2025-10-01,combined,103.74,
2025-10-01,rural,103.85,
2025-10-01,urban,103.61,
2025-11-01,combined,104.01,
2025-11-01,rural,104.16,
2025-11-01,urban,103.83,
2025-12-01,combined,104.1,
2025-12-01,rural,104.19,
2025-12-01,urban,103.98,
2026-01-01,combined,104.45,2.74
2026-01-01,rural,104.59,2.73
2026-01-01,urban,104.28,2.75
2026-02-01,combined,104.57,3.21
2026-02-01,rural,104.74,3.37
2026-02-01,urban,104.36,3.02
2026-03-01,combined,104.84,3.4
2026-03-01,rural,105.02,3.63
2026-03-01,urban,104.62,3.11
2026-04-01,combined,105.12,3.48
2026-04-01,rural,105.28,3.74
2026-04-01,urban,104.92,3.16
2026-05-01,combined,105.91,3.93
2026-05-01,rural,106.11,4.25
2026-05-01,urban,105.66,3.53
2026-06-01,combined,107.0,4.38
2026-06-01,rural,107.24,4.74
2026-06-01,urban,106.69,3.93
2026-07-01,combined,107.94,4.45
2026-07-01,rural,108.34,4.84
2026-07-01,urban,107.45,3.96
