period,group_code,group_name,sector,index_value,inflation_pct
2026-07-01,01.1,Food,combined,109.39,5.52
2026-07-01,01.1,Food,rural,109.21,5.79
2026-07-01,01.1,Food,urban,109.7,5.05
2026-07-01,01.2,Beverages,combined,103.66,0.04
2026-07-01,01.2,Beverages,rural,103.85,0.13
2026-07-01,01.2,Beverages,urban,103.42,-0.08
2026-07-01,01.3,goods for food,combined,108.52,3.5
2026-07-01,01.3,goods for food,rural,108.42,3.5
2026-07-01,01.3,goods for food,urban,108.78,3.5
2026-07-01,02.1,Alcoholic beverages,combined,106.89,2.35
2026-07-01,02.1,Alcoholic beverages,rural,107.29,2.5
2026-07-01,02.1,Alcoholic beverages,urban,106.05,2.03
2026-07-01,02.3,Paan and tobacco,combined,109.39,7.12
2026-07-01,02.3,Paan and tobacco,rural,108.78,6.43
2026-07-01,02.3,Paan and tobacco,urban,110.88,8.81
2026-07-01,03.1,Clothing,combined,109.01,3.78
2026-07-01,03.1,Clothing,rural,109.95,4.29
2026-07-01,03.1,Clothing,urban,107.47,2.92
2026-07-01,03.2,Footwear,combined,104.87,0.75
2026-07-01,03.2,Footwear,rural,106.33,1.8
2026-07-01,03.2,Footwear,urban,102.61,-0.88
2026-07-01,04.1,housing,combined,103.63,2.11
2026-07-01,04.1,housing,rural,104.08,2.61
2026-07-01,04.1,housing,urban,103.5,1.96
2026-07-01,04.3,of the dwelling,combined,107.06,3.4
2026-07-01,04.3,of the dwelling,rural,107.31,3.54
2026-07-01,04.3,of the dwelling,urban,106.62,3.18
2026-07-01,04.4,services relating to the dwelling,combined,102.62,1.18
2026-07-01,04.4,services relating to the dwelling,rural,102.02,1.09
2026-07-01,04.4,services relating to the dwelling,urban,102.88,1.23
2026-07-01,04.5,"Electricity, gas and other fuels",combined,103.61,2.02
2026-07-01,04.5,"Electricity, gas and other fuels",rural,104.43,2.14
2026-07-01,04.5,"Electricity, gas and other fuels",urban,102.36,1.85
2026-07-01,05.1,carpets,combined,107.38,3.56
2026-07-01,05.1,carpets,rural,107.95,3.92
2026-07-01,05.1,carpets,urban,106.48,2.97
2026-07-01,05.2,Household textiles,combined,106.98,2.91
2026-07-01,05.2,Household textiles,rural,107.9,3.69
2026-07-01,05.2,Household textiles,urban,105.44,1.61
2026-07-01,05.3,Household appliances,combined,104.54,2.02
2026-07-01,05.3,Household appliances,rural,105.66,2.94
2026-07-01,05.3,Household appliances,urban,103.26,0.96
2026-07-01,05.4,household utensils,combined,109.5,5.01
2026-07-01,05.4,household utensils,rural,110.51,5.82
2026-07-01,05.4,household utensils,urban,107.87,3.7
2026-07-01,05.5,and garden,combined,99.1,-0.76
2026-07-01,05.5,and garden,rural,98.98,-1.3
2026-07-01,05.5,and garden,urban,99.35,0.35
2026-07-01,05.6,household maintenance,combined,104.27,1.87
2026-07-01,05.6,household maintenance,rural,104.1,1.94
2026-07-01,05.6,household maintenance,urban,104.48,1.77
2026-07-01,06.1,Medicines and health products,combined,105.28,1.26
2026-07-01,06.1,Medicines and health products,rural,105.35,1.51
2026-07-01,06.1,Medicines and health products,urban,105.16,0.86
2026-07-01,06.2,Outpatient care services,combined,103.67,1.58
2026-07-01,06.2,Outpatient care services,rural,102.61,1.0
2026-07-01,06.2,Outpatient care services,urban,105.21,2.42
2026-07-01,06.3,Inpatient care services,combined,104.68,1.57
