period,state,inflation_pct
2026-01-01,Andaman And Nicobar Islands,4.27
2026-01-01,Andhra Pradesh,2.82
2026-01-01,Arunachal Pradesh,1.35
2026-01-01,Assam,0.8
2026-01-01,Bihar,2.49
2026-01-01,Chandigarh,2.36
2026-01-01,Chhattisgarh,1.66
2026-01-01,Goa,1.92
2026-01-01,Gujarat,2.1
2026-01-01,Haryana,2.55
2026-01-01,Himachal Pradesh,2.93
2026-01-01,Jammu And Kashmir,1.34
2026-01-01,Jharkhand,2.02
2026-01-01,Karnataka,2.99
2026-01-01,Kerala,3.68
2026-01-01,Ladakh,1.76
2026-01-01,Lakshadweep,3.02
2026-01-01,Madhya Pradesh,2.72
2026-01-01,Maharashtra,2.58
2026-01-01,Manipur,0.12
2026-01-01,Meghalaya,1.66
2026-01-01,Mizoram,0.25
2026-01-01,Nagaland,2.35
2026-01-01,Nct Of Delhi,2.15
2026-01-01,Odisha,1.88
2026-01-01,Puducherry,3.39
2026-01-01,Punjab,2.7
2026-01-01,Rajasthan,3.18
2026-01-01,Sikkim,3.04
2026-01-01,Tamil Nadu,3.35
2026-01-01,Telangana,4.92
2026-01-01,The Dadra And Nagar Haveli And Daman And Diu,2.58
2026-01-01,Tripura,1.29
2026-01-01,Uttar Pradesh,2.67
2026-01-01,Uttarakhand,2.19
2026-01-01,West Bengal,2.79
2026-02-01,Andaman And Nicobar Islands,4.06
2026-02-01,Andhra Pradesh,3.45
2026-02-01,Arunachal Pradesh,1.9
2026-02-01,Assam,2.33
2026-02-01,Bihar,2.85
2026-02-01,Chandigarh,2.71
2026-02-01,Chhattisgarh,1.8
2026-02-01,Goa,2.18
2026-02-01,Gujarat,2.79
2026-02-01,Haryana,2.83
2026-02-01,Himachal Pradesh,2.94
2026-02-01,Jammu And Kashmir,1.86
2026-02-01,Jharkhand,2.63
2026-02-01,Karnataka,3.34
2026-02-01,Kerala,3.49
2026-02-01,Ladakh,1.55
2026-02-01,Lakshadweep,3.6
2026-02-01,Madhya Pradesh,3.43
2026-02-01,Maharashtra,3.06
2026-02-01,Manipur,1.01
2026-02-01,Meghalaya,2.57
2026-02-01,Mizoram,0.11
2026-02-01,Nagaland,2.77
2026-02-01,Nct Of Delhi,1.94
2026-02-01,Odisha,3.27
2026-02-01,Puducherry,3.46
2026-02-01,Punjab,3.1
2026-02-01,Rajasthan,3.49
2026-02-01,Sikkim,3.64
2026-02-01,Tamil Nadu,3.43
2026-02-01,Telangana,5.02
2026-02-01,The Dadra And Nagar Haveli And Daman And Diu,3.25
2026-02-01,Tripura,2.1
2026-02-01,Uttar Pradesh,3.43
2026-02-01,Uttarakhand,2.69
2026-02-01,West Bengal,3.44
2026-03-01,Andaman And Nicobar Islands,3.44
2026-03-01,Andhra Pradesh,4.05
2026-03-01,Arunachal Pradesh,2.31
2026-03-01,Assam,2.83
2026-03-01,Bihar,2.92
2026-03-01,Chandigarh,3.17
2026-03-01,Chhattisgarh,1.35
2026-03-01,Goa,2.21
2026-03-01,Gujarat,3.07
2026-03-01,Haryana,2.68
2026-03-01,Himachal Pradesh,3.05
2026-03-01,Jammu And Kashmir,2.2
2026-03-01,Jharkhand,3.08
2026-03-01,Karnataka,3.96
2026-03-01,Kerala,3.62
2026-03-01,Ladakh,0.94
2026-03-01,Lakshadweep,3.29
2026-03-01,Madhya Pradesh,3.49
2026-03-01,Maharashtra,3.44
2026-03-01,Manipur,1.96
2026-03-01,Meghalaya,2.96
2026-03-01,Mizoram,0.66
2026-03-01,Nagaland,3.23
2026-03-01,Nct Of Delhi,1.86
2026-03-01,Odisha,3.32
2026-03-01,Puducherry,4.18
2026-03-01,Punjab,2.97
2026-03-01,Rajasthan,3.64
2026-03-01,Sikkim,4.28
2026-03-01,Tamil Nadu,3.77
2026-03-01,Telangana,5.83
2026-03-01,The Dadra And Nagar Haveli And Daman And Diu,3.19
2026-03-01,Tripura,2.25
2026-03-01,Uttar Pradesh,3.43
2026-03-01,Uttarakhand,3.31
2026-03-01,West Bengal,2.84
2026-04-01,Andaman And Nicobar Islands,3.24
2026-04-01,Andhra Pradesh,4.2
2026-04-01,Arunachal Pradesh,2.07
2026-04-01,Assam,3.22
2026-04-01,Bihar,2.74
2026-04-01,Chandigarh,3.52
2026-04-01,Chhattisgarh,1.77
2026-04-01,Goa,2.2
2026-04-01,Gujarat,2.85
2026-04-01,Haryana,2.96
2026-04-01,Himachal Pradesh,3.67
2026-04-01,Jammu And Kashmir,2.67
2026-04-01,Jharkhand,2.88
2026-04-01,Karnataka,4.0
2026-04-01,Kerala,3.77
2026-04-01,Ladakh,2.02
2026-04-01,Lakshadweep,3.42
