year,month,period,carrier_name,carrier,service_type,source_file,departures,hours_flown,passengers,rpk_thousand,ask_thousand,pax_load_factor,freight_tonne,mail_tonne,cargo_total_tonne,tkm_passenger_thousand,tkm_freight_thousand,tkm_mail_thousand,atk_thousand,weight_load_factor,load_factor_derived,load_factor_gap,ask_yoy_pct,ask_mom_pct,pax_yoy_pct
2026,1,2026-01-01,INDIGO,6E,nonscheduled_domestic,indigo26.xlsx,251,208.133,22991,15109.0,17810.0,84.83,705.5956,1.638,707.2336,1355.02137,1041.107845,2.941033,4223.38439,56.8,84.83,0.0,,,
2026,1,2026-01-01,INDIGO,6E,nonscheduled_international,indigo26.xlsx,163,339.002414,0,0.0,0.0,,2277.5753,0.0,2277.5753,0.0,5022.203862,0.0,7860.661676,63.89,,,,,
2026,1,2026-01-01,INDIGO,6E,scheduled_domestic,indigo26.xlsx,58905,52623.353,9704113,9207043.0,10501553.0,87.67,25942.02,2724.721,28666.741,828630.12879,30169.433972,2418.396196,1175608.45788,73.26,87.67,0.0,,,
2026,1,2026-01-01,INDIGO,6E,scheduled_international,indigo26.xlsx,9368,25506.02,1655763,4716788.0,5463909.0,86.33,5878.369,5.502,5883.871,424511.34813,22768.83221,13.18571,486335.441095,91.97,86.33,0.0,,,
2026,1,2026-01-01,ALLIANCE AIR,9I,scheduled_domestic,alliance_air26.xlsx,1378,566.423,57459,24249.432,37442.125,64.77,0.0,0.0,0.0,2206.6983,0.0,0.0,3585.4402,61.55,64.77,0.0,,,
2026,1,2026-01-01,AIR INDIA,AI,nonscheduled_domestic,Air_India26.xlsx,141,69.174,20894,10687.918,12003.896,89.04,3.1249091,0.0,3.1249091,1028.346624,1.937952,0.0,1132.930692,90.94,89.04,0.0,,,
2026,1,2026-01-01,AIR INDIA,AI,scheduled_domestic,Air_India26.xlsx,15435,16604.5,2297474,2427786.768,2804433.74,86.57,28046.5332696,702.431459,28748.9647286,218449.538637,36099.4178520001,737.898512989999,283950.487881,89.91,86.57,0.0,,,
2026,1,2026-01-01,AIR INDIA,AI,scheduled_international,Air_India26.xlsx,4976,23050.198,920748,4850136.785,5902119.945,82.18,43886.4098734,258.222,44144.6318734,512149.443479999,260280.674784,1750.7800159,854463.4245648,90.6,82.18,0.0,,,
2026,1,2026-01-01,BLUEDART,BZ,nonscheduled_domestic,bluedart26.xlsx,56,69.0,0,0.0,0.0,,927.789,0.0,927.789,0.0,1186.0,0.0,2074.0,57.18,,,,,
2026,1,2026-01-01,BLUEDART,BZ,scheduled_domestic,bluedart26.xlsx,566,546.0,0,0.0,0.0,,10231.954,0.0,10231.954,0.0,10164.0,0.0,16152.0,62.93,,,,,
