departure_date,is_weekend,is_peak_dow,month,day_of_year,is_holiday,holiday_name,event_window,days_to_event,season_summer_school_holidays,season_winter_peak,season_monsoon_lean,season_wedding_season_1,season_wedding_season_2,is_surge,long_weekend
2026-09-01,False,False,9,244,False,,,,False,False,False,False,False,False,False
2026-09-02,False,False,9,245,False,,Janmashtami (Vaishnava),-2,False,False,False,False,False,True,False
2026-09-03,False,False,9,246,False,,Janmashtami (Vaishnava),-1,False,False,False,False,False,True,False
2026-09-04,False,True,9,247,True,Janmashtami (Vaishnava),Janmashtami (Vaishnava),0,False,False,False,False,False,True,True
2026-09-05,True,False,9,248,False,,Janmashtami (Vaishnava),1,False,False,False,False,False,True,True
2026-09-06,True,True,9,249,False,,Janmashtami (Vaishnava),2,False,False,False,False,False,True,True
2026-09-07,False,False,9,250,False,,,,False,False,False,False,False,False,False
2026-09-08,False,False,9,251,False,,,,False,False,False,False,False,False,False
2026-09-09,False,False,9,252,False,,,,False,False,False,False,False,False,False
2026-09-10,False,False,9,253,False,,,,False,False,False,False,False,False,False
2026-09-11,False,True,9,254,False,,,,False,False,False,False,False,False,False
2026-09-12,True,False,9,255,False,,,,False,False,False,False,False,False,False
2026-09-13,True,True,9,256,False,,,,False,False,False,False,False,False,False
2026-09-14,False,False,9,257,False,,,,False,False,False,False,False,False,False
2026-09-15,False,False,9,258,False,,,,False,False,False,False,False,False,False
2026-09-16,False,False,9,259,False,,,,False,False,False,False,False,False,False
2026-09-17,False,False,9,260,False,,,,False,False,False,False,False,False,False
2026-09-18,False,True,9,261,False,,,,False,False,False,False,False,False,False
2026-09-19,True,False,9,262,False,,,,False,False,False,False,False,False,False
2026-09-20,True,True,9,263,False,,,,False,False,False,False,False,False,False
2026-09-21,False,False,9,264,False,,,,False,False,False,False,False,False,False
2026-09-22,False,False,9,265,False,,,,False,False,False,False,False,False,False
2026-09-23,False,False,9,266,False,,,,False,False,False,False,False,False,False
2026-09-24,False,False,9,267,False,,,,False,False,False,False,False,False,False
2026-09-25,False,True,9,268,False,,,,False,False,False,False,False,False,False
2026-09-26,True,False,9,269,False,,,,False,False,False,False,False,False,False
2026-09-27,True,True,9,270,False,,,,False,False,False,False,False,False,False
2026-09-28,False,False,9,271,False,,,,False,False,False,False,False,False,False
2026-09-29,False,False,9,272,False,,Mahatma Gandhi's Birthday,-3,False,False,False,False,False,True,False
2026-09-30,False,False,9,273,False,,Mahatma Gandhi's Birthday,-2,False,False,False,False,False,True,False
2026-10-01,False,False,10,274,False,,Mahatma Gandhi's Birthday,-1,False,False,False,False,False,True,False
2026-10-02,False,True,10,275,True,Mahatma Gandhi's Birthday,Mahatma Gandhi's Birthday,0,False,False,False,False,False,True,True
2026-10-03,True,False,10,276,False,,Mahatma Gandhi's Birthday,1,False,False,False,False,False,True,True
2026-10-04,True,True,10,277,False,,Mahatma Gandhi's Birthday,2,False,False,False,False,False,True,True
2026-10-05,False,False,10,278,False,,,,False,False,False,False,False,False,False
2026-10-06,False,False,10,279,False,,,,False,False,False,False,False,False,False
2026-10-07,False,False,10,280,False,,,,False,False,False,False,False,False,False
2026-10-08,False,False,10,281,False,,,,False,False,False,False,False,False,False
2026-10-09,False,True,10,282,False,,,,False,False,False,False,False,False,False
